Project ID,Project Title,Specific Subcategory,Project Value,Masonry Value,Masonry Value (Filled),Masonry Value Source
1003000960,2450 Victoria Park Avenue - North and South Towers,Condominiums,185000000,,4310657.926666667,Predicted
1003010070,Victoria Street Improvements,Roads,5000000,,,Predicted
1003015160,1050 Sheppard Avenue West Condos,Condominiums,34500000,,1581907.196444445,Predicted
1003038017,Davis Tannery Lands Mixed-Use Development,Apartments,500000000,9274794.0,9274794.0,Reported
1003048626,Wilmington Place - Townhouses,Townhomes,66500000,,1468510.43,Predicted
1003060490,Four Eleven King Condominiums - Mixed-Use Tower,Condominiums,113500000,,2385408.433333333,Predicted
1003088734,55 Eglinton Avenue East - Mixed-Use Condo Tower,Condominiums,115000000,,2469083.196666667,Predicted
1003134660,Front and Spadina - Street West Mixed-Use Towers,Condominiums,380000000,,3685336.969555556,Predicted
1003137549,Residences at Central Park (Phase 2),Condominiums,408900000,,3341577.3184444443,Predicted
1003140054,Delta Hotel East Renovations,Hotels,500000,,22387.79,Predicted
1003179455,Yonge and Isabella Streets - Residential Condo Tower,Apartments,165000000,3060682.0,3060682.0,Reported
1003181982,1001 Ellesmere Road - Office Building,Offices,16500000,,1827890.811111111,Predicted
1003197991,West Vaughan Sewage Servicing - Tunnel Phase 1,Sewers and Water Mains,315000000,,,Predicted
1003215973,3803 Dundas Street West - Residential Building,Apartments,67500000,1252097.0,1252097.0,Reported
1003230215,"Reunion Condos - 1891 Eglinton Avenue Mixed-Use Development (Block 1, Towers A, B, C and D)",Condominiums,280000000,,5081603.4273333335,Predicted
1003238595,Bloor and Spadina - Mixed-Use Condo Tower,Condominiums,73800000,,1317408.66,Predicted
1003266878,45 Tyler Street - Condo Townhouses,Townhomes,47500000,,969734.9944444445,Predicted
1003268618,Village of Sandalwood Park - Phase 2,Nursing Homes,82500000,2610239.0,2610239.0,Reported
1003291587,Chelsea Green - Mixed-Use Towers,Apartments,400000000,7419835.0,7419835.0,Reported
1003346716,Baif Don Head - Yonge Street Block (Phase One),Townhomes,165500000,,3295440.88,Predicted
1003482071,King &amp; Rideout Mixed-Use Development,Apartments,75000000,1391219.0,1391219.0,Reported
1003534083,Dragon Centre Condos,Condominiums,130000000,,5048625.123333333,Predicted
1003605824,1156 Dundas Street - Long Term Care Facility,Nursing Homes,77000000,2436223.0,2436223.0,Reported
1003624251,"Curio by Hilton Hotel - Mixed-Use Building, Rack House D Revitalization",Hotels,70000000,292735.0,292735.0,Reported
1003679733,31A Parliament Street Mixed-Use Development,Townhomes,100800000,,1870013.5362962962,Predicted
1003752588,One Scollard Street - Condo Tower,Condominiums,59800000,,1233140.9006915917,Predicted
1003817043,50 Neptune Drive - Condo Building,Apartments,30000000,556488.0,556488.0,Reported
1003870350,The Clair Residences - Mixed-Use Residential Tower,Condominiums,73500000,,1324199.37,Predicted
1003881323,5959 Yonge Street Condominiums - Phase One (Towers A and B),Condominiums,190000000,,4412238.366666666,Predicted
1003963432,The Kingsway - Humbertown Redevelopment- Future Phases,Townhomes,210000000,,3946163.4966666666,Predicted
1003979021,Wychwood Avenue - Mixed-Use Condo Building,Condominiums,8700000,,590435.3433333334,Predicted
1003992856,Wye River South Bridge 027574 on County Road 27 over Wye River,Bridges and Culverts,1500000,,,Predicted
1003993108,Sequence Condos - Mixed-Use Condo Towers,Condominiums,191500000,,4422718.123333333,Predicted
1004005007,Juno Residences - Mixed-Use Residential Towers,Condominiums,140000000,,4564397.616666666,Predicted
1004036985,590 - 594 Rideau Street Mixed Use Residential,Apartments,11000000,,407474.2233333333,Predicted
1004081809,Niagara Historical Society and Museum Buildings - Addition/Alterations,Museums,12000000,,,Predicted
1004099916,Banting Memorial High School Replacement,Public Schools,41400000,,1460896.643333333,Predicted
1004100633,The Polo Club Condos,Apartments,81000000,,1502485.9866666666,Predicted
1004109321,Albert Street Residential Towers,Condominiums,425000000,,3434211.7784444443,Predicted
1004113879,Victoria Bridge - Temporary Modular Bridge,Bridges and Culverts,230390,,,Predicted
1004114035,Sand and Salt Facilities / Depots - Phase 1,Offices,30530000,,1777749.98,Predicted
1004119752,Bloor-Islington - Mixed-Use Towers,Condominiums,426600000,,3462334.295111111,Predicted
1004122321,Springbank Drive Mixed-Use Buildings,Apartments,54900000,1018372.0,1018372.0,Reported
1004135223,RFP D/B - Progressive Design Build Services for Ingersoll Multi-Use Recreation Centre,Athletic Bldgs,38000000,,1327330.3066666666,Predicted
1004145308,Bloor Street West - Mixed-Use Residential Building,Condominiums,66800000,,1065865.6233333333,Predicted
1004157472,Leaside Centre - Mixed-Use Buildings,Condominiums,325000000,,5630840.227333333,Predicted
1004157824,Combined Fire Station and Operations Yard (Bond Head Fire Station),Fire and Police Stations,16000000,1895183.0,1895183.0,Reported
1004169331,Noble Street - Mixed-Use Rental Building,Apartments,31000000,575037.0,575037.0,Reported
1004176536,Thornbury West Reconstruction Phase 1A,Roads,6630000,,,Predicted
1004182143,"West Cambridge, North Dumfries Water System Upgrades",Tanks,7000000,,,Predicted
1004187788,Grand Park Village Mixed-Use - Blocks D &amp; E,Condominiums,268300000,,12812862.103333334,Predicted
1004196184,Fairmont Château Laurier - Expansion,Hotels,40000000,167277.0,167277.0,Reported
1004212367,The Borough Condos - Phase 1,Condominiums,52000000,,1171645.1466666667,Predicted
1004230996,Pears Condominiums,Condominiums,17000000,,1271540.7079999999,Predicted
1004231920,Near Surface Disposal Facility (NSDF) Project at the CNL Chalk River Campus,Water and Sewage Treatment Plants,100000000,,,Predicted
1004237270,King and Toronto - Mixed-Use Rental Tower,Apartments,70000000,1298471.0,1298471.0,Reported
1004240820,Autumn - 3359 Danforth Avenue,Apartments,5300000,,375783.04757448746,Predicted
1004240872,3019 Dufferin Street - Mixed-Use Residential Building,Apartments,68000000,1261372.0,1261372.0,Reported
1004240884,507 Kingston Road - Rental Building,Apartments,15500000,,388938.73790598294,Predicted
1004243902,Bleams Road Widening,Roads,17900000,,,Predicted
1004244181,Convent Glen North Storm Sewer Collector Rehabilitation,Sewers and Water Mains,5000000,,,Predicted
1004244348,Miller Drive - Residential Buildings,Townhomes,22500000,,973014.7278015875,Predicted
1004246159,Church and Wellesley - Mixed-Use Rental Building,Apartments,82500000,1530341.0,1530341.0,Reported
1004250248,Mannheim Water Treatment Plant Chemical Safety Systems Improvements,Water and Sewage Treatment Plants,686688,,,Predicted
1004252771,Fenelon Drive - Mixed-Use Rental Buildings,Apartments,40000000,741984.0,741984.0,Reported
1004252847,457 Richmond Street West - Mixed-Use Condo Building,Condominiums,25000000,,1322461.398988095,Predicted
1004259401,325 Bogert Avenue - Mixed-Use Development (Master Plan),Apartments,283400000,,5241526.016666667,Predicted
1004262022,Wellington Street West Condos,Condominiums,29500000,,1044672.0366666666,Predicted
1004262097,"Stage 2 ION Light Rapid Transit (LRT), From Kitchener to Cambridge",Transportation Terminals,1250000000,,28836052.543333333,Predicted
1004262102,Intersection Improvements - Henderson Ave and Doncaster Ave,Roads,950000,,,Predicted
1004263299,"Proposal - New Construction of a Fire Hall, Fire #4",Fire and Police Stations,4400000,521175.0,521175.0,Reported
1004264361,Wellington Street West - Mixed-Use Office Building,Offices,38700000,,1587441.2744444443,Predicted
1004266332,Ethel and Dods - Mixed-Use Residential Towers,Condominiums,260500000,,4861242.47,Predicted
1004266352,River and Queen - Mixed-Use Condo Building,Condominiums,80000000,,1717812.3833333333,Predicted
1004266527,Chalkfarm Drive - Rental Building,Apartments,277500000,5147511.0,5147511.0,Reported
1004267462,Days Road Sewage Pumping Station,Roads,16437997,,,Predicted
1004275685,One Front Street West - Mixed-Use Residential Towers,Apartments,230500000,4275680.0,4275680.0,Reported
1004284434,Mountainview Road Rehabilitation (Old Baseline Road - Walker Road),Roads,2301177,,,Predicted
1004288553,50 Wilson Heights Blvd - Mixed-Use Development - Blocks 3 and 4,Athletic Fields and Courts,150000000,,3986450.704435787,Predicted
1004306164,Dakota Place Industrial Building H,Warehouses,12000000,1407383.0,1407383.0,Reported
1004288715,Danforth Avenue - Mixed-Use Building,Condominiums,5100000,,335706.9434188034,Predicted
1004306172,Robin's Hill Road Industrial Building,Warehouses,6500000,762333.0,762333.0,Reported
1004295277,Lancaster Street Reconstruction,Roads,16400000,,,Predicted
1004307513,2150 Oxford Industrial Building,Warehouses,22800000,2674028.0,2674028.0,Reported
1004358373,Proposal - Construction Services Kingston East Community Centre,Clubs,8500000,742525.0,742525.0,Reported
1004318629,90 Queen's Park - Academic Building,Auditoriums,35000000,,1913255.6697777784,Predicted
1004323192,Rehabilitation of Mill Pond Bridge,Bridges and Culverts,1579166,,,Predicted
1004325756,Spadina and Adelaide - Mixed-Use Tower,Condominiums,90000000,,2751837.439444444,Predicted
1004329738,100 Simcoe Street - Mixed-Use Rental Tower,Condominiums,184500000,,4309954.5633333335,Predicted
1004368469,Erskine and Broadway Rental Apartment Building,Apartments,17300000,320908.0,320908.0,Reported
1004331789,Niles St Affordable Housing Development on former Wellington Arena Lands,Townhomes,10800000,,909390.7466666667,Predicted
1004404723,The RIV - Residential Rental Tower,Apartments,67500000,1252097.0,1252097.0,Reported
1004368355,Brightwater Community - Mixed-Use Development,Townhomes,625200000,,29708250.408333335,Predicted
1004427969,Church Street Rental Apartment,Apartments,16600000,307923.0,307923.0,Reported
1004368553,King and George - Infill Residential Building,Condominiums,10500000,,872544.1333333333,Predicted
1004441304,Construction Manager - Salvation Army Centre of Hope,Apartments,30000000,2620677.0,2620677.0,Reported
1004370531,Guelph Wastewater Treatment Plant Digester 3 Refurbishment,Water and Sewage Treatment Plants,2247000,,,Predicted
1004539083,Villages Community Care Group Long Term Care Facility - Phase 2,Nursing Homes,35000000,1107374.0,1107374.0,Reported
1004375418,Kozlov Street Townhouses,Townhomes,51000000,,1483074.340174603,Predicted
1004543359,9th Line &amp; Rustle Woods Ave Residential Development Phase 1+,Apartments,200000000,3709918.0,3709918.0,Reported
1004386866,Yonge and Millwood - Mixed-Use Rental Towers,Condominiums,168500000,,4134696.183333333,Predicted
1004551316,Riverfront Community (formerly Thundering Waters) Mixed-Use Development,Apartments,1600000000,29679340.0,29679340.0,Reported
1004387490,Light Rail Transit Extension - Gateway Terminal to Brampton GO Station,Railroads and Subways,90000000,,3053067.8205555556,Predicted
1004563100,Agincourt Mall Redevelopment - Mixed-Use Residential Towers (Blocks 1 through 6 - Master Plan),Apartments,2300000000,42664051.0,42664051.0,Reported
1004390392,Queen Street Sanitary Pumping Station Upgrades,Water and Sewage Treatment Plants,2228063,,,Predicted
1004569834,Bank Street Mixed-Use Residential Building,Apartments,2500000,199712.0,199712.0,Reported
1004396272,14 Duncan Street Condos,Condominiums,85000000,,3078057.9196168836,Predicted
1004585377,Mount Pleasant Road - Retirement Centre Expansion,Bridges and Culverts,50000000,1581963.0,1581963.0,Reported
1004586055,Hampton Inn Hotel / Aurora,Hotels,25000000,1133806.0,1133806.0,Reported
1004420652,New Catholic French Elementary School / Arnprior,Public Schools,7600000,,532648.3158333333,Predicted
1004588562,595 Parliament Street - Mixed-Use Redevelopment,Apartments,15000000,1198274.0,1198274.0,Reported
1004427679,Lorne Park Place - Mixed-Use Residential Development,Townhomes,6200000,,532510.43,Predicted
1004595326,Howden Recreation Centre and Library,Clubs,30000000,2620677.0,2620677.0,Reported
1004569559,2600 Don Mills Road - Residential Towers (Master Plan),Apartments,324500000,6019341.0,6019341.0,Reported
1004428337,Picton Main St Phase 3 Reconstruction,Roads,11807331,,,Predicted
1004526451,Lower Union St Apartment Building,Apartments,45000000,834731.0,834731.0,Reported
1004436655,New Breslau Hopewell Crossing Elementary School and Child Care,Public Schools,31000000,,1100211.1466666667,Predicted
1004602748,Fire Station 214 and Peel Regional Paramedic Service Satellite Station at 917 and 927 Bovaird Drive West,Fire and Police Stations,6752000,799767.0,799767.0,Reported
1004437589,475 Yonge Street - Residential Towers,Condominiums,657000000,,22701263.766666666,Predicted
1004608547,Bronson Avenue &amp; Cambridge St Mixed-Use Rental Building Phase 1 &amp; 2,Apartments,69500000,1289196.0,1289196.0,Reported
